product_code,product_name,year,total_import_value_kusd,concentration_raw,policy_exposure_raw,alternative_insufficiency_raw,structural_volatility_raw,siri_score,siri_score_policy_weighted
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2008,2330789.952,0.1965597272060135,0.27805962757127933,0.228785592600787,0.0,27.110444131589134,38.15092472586296
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2009,1718548.232,0.16662043753032904,0.18229659090534037,0.19949242768850825,0.13330020826353256,25.34744736143712,31.042609159465567
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2010,4230023.173,0.17589130079210594,0.2825178459134649,0.18663282920884766,0.19219721559148015,36.34374510081636,45.802830305852446
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2011,6334163.036,0.1557677021602713,0.20107251214744387,0.18069909738621723,0.17298785172173634,27.704541425112495,34.04545514932817
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2012,2468393.926,0.16451437687069217,0.2215252566619709,0.19048939004766743,0.2697030177355148,36.345106851401944,42.1748495198696
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2013,2997606.8660000004,0.17116318852474674,0.22784780344174724,0.20000799045561057,0.13283379371302903,28.969254810043775,36.65036057350966
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2014,4141476.0659999996,0.19947547130825163,0.3220876640942056,0.2083165162442074,0.11690045825871859,36.87884099299818,48.58531841949608
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2015,4499493.777,0.20334436280865917,0.3375120600816869,0.20376385195008057,0.040109910237242655,33.10645412418107,46.48516329934485
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2016,5252597.518,0.1990131318879182,0.3246219934340684,0.205276070752595,0.10314170539781488,36.00779246456214,48.03927265476979
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2017,6602496.921,0.17865359182758137,0.27924348183122766,0.1937990677940948,0.10624757240857574,31.1626949558512,41.46316492969277
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2018,11170503.327,0.19795507622369798,0.26479162813108215,0.23650889051993895,0.12156986220850384,34.33040083616072,43.1374417025411
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2019,10545700.397,0.18190484163845078,0.23858161025660704,0.21557902537790927,0.11514927217492557,30.028347607482132,38.136298274956125
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2020,13911202.336,0.18636673610066706,0.21206714270596028,0.22774736784633404,0.08418821699715645,26.966481353608696,34.109189615946754
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2021,21386953.645,0.18819520366449205,0.19978511581984587,0.23156482044099932,0.0645170901987042,25.100652663391166,31.885743823618107
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2022,18350460.652,0.18103197580571478,0.17720967836551726,0.22102254240173985,0.062258425413467745,22.34644200178035,28.339132647689503
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2023,26567329.043,0.19600665106434462,0.11655803024037548,0.2337321658922735,0.16002932887792107,25.50061986078201,27.253690807650386
848620,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits,2024,33096810.847,0.20888133150544352,0.09878745605171692,0.24516902318728717,0.045202668192459286,18.158904393544425,20.322966028008786
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2008,62541811.399,0.1516065774752288,0.08168350723659538,0.17186468837923763,0.0,7.148333925469645,10.49682157902561
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2009,44479919.255,0.1474567533176317,0.09545882922264311,0.16908488924564494,0.12734600942007454,15.90123408396383,18.318775876821633
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2010,56106739.205,0.1656156557354515,0.09352914392024327,0.19090906187432544,0.06499262709048274,13.897564502370807,16.60102358405011
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2011,64156796.901,0.18660039031852346,0.056635208949207455,0.2060739320237717,0.0880741292847226,14.515693487261053,14.900330911163861
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2012,70045618.281,0.18477833388760115,0.03539795427393009,0.1972421054289256,0.09490271575378807,12.806871134826213,12.269652502034736
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2013,55249985.491000004,0.20856553754500304,0.046217929023998766,0.22692028841048006,0.2625526446762477,27.07514405908385,24.328061312799925
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2014,50724860.377000004,0.19197519983964423,0.07558120955890038,0.217965781731199,0.06486763390494567,15.360490680756614,16.703459158279276
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2015,54011634.451,0.20613097364293614,0.09656923714707973,0.24112773363657553,0.07170698040708678,19.320646298073537,21.12037512216888
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2016,49188111.099,0.18737377184473053,0.10978356201016598,0.22122976909013897,0.08671951262205764,19.22662515749359,21.831412949554878
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2017,52909585.952,0.15515364070444912,0.12468114277032322,0.18221264996574332,0.08590878250707482,16.53824866508137,20.567120528402576
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2018,57812835.488,0.14790549536231812,0.13773077906986192,0.1734153385737483,0.05582707423369136,14.753918754193244,19.91611233996922
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2019,68906771.817,0.1572534341985119,0.1432243095527686,0.18627820273621748,0.07067878617014513,17.27450864535007,22.259450318732178
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2020,76948332.707,0.15527444655752712,0.13857523686188944,0.18337156443036368,0.07478274016147812,16.932425587123628,21.709163198981265
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2021,88029987.279,0.14759881849698567,0.1339923385609058,0.17286691194800877,0.06983138028257842,15.320671546815074,20.14707668183468
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2022,84956020.433,0.14031786696501025,0.09893043404296861,0.1607665943398808,0.09037698859701103,12.998003536492226,16.20275255892789
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2023,65809145.545,0.1524045262978582,0.06803841385447364,0.17013976458950256,0.08816957529231817,11.685785835762879,13.314897561948818
854231,"Electronic integrated circuits: processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",2024,79773602.232,0.1477018667642953,0.09721579809629174,0.16962905391965769,0.09714047879218786,14.154253574103748,17.025731437413835
854232,Electronic integrated circuits: memories,2008,19401517.847,0.22721572781309368,0.05713611784097646,0.25191578350073796,0.0,13.500102987399758,14.117662681708579
854232,Electronic integrated circuits: memories,2009,16582602.414,0.24748503297652963,0.04577428464178578,0.2694971532709867,0.10601807446035912,21.377959543672386,19.74391677880152
854232,Electronic integrated circuits: memories,2010,22379711.02,0.3896675557656297,0.03541325030031599,0.41745693961629443,0.231985745384108,43.85244977847857,37.107025533316815
854232,Electronic integrated circuits: memories,2011,21173643.612,0.3322006343276391,0.04173024167173746,0.35986723731274556,0.08723566006880279,29.082075278452812,25.666588072212278
854232,Electronic integrated circuits: memories,2012,20456211.69,0.3352946650570253,0.05530262891017237,0.3722730928395044,0.03520504011439865,27.604385838999534,25.291996037148945
854232,Electronic integrated circuits: memories,2013,24742379.062999997,0.36796288429705587,0.07269218297158865,0.4217686015216081,0.06444565176658601,35.07963975583591,32.306880809394734
854232,Electronic integrated circuits: memories,2014,38844725.219,0.3494364513262444,0.04399614427351061,0.38022135856463674,0.20012319647167232,38.399314898343135,33.25520138626557
854232,Electronic integrated circuits: memories,2015,42341791.26,0.36953884738328596,0.026050680195054177,0.3888562568122395,0.02526905506126186,27.457651226457696,23.434112062560086
854232,Electronic integrated circuits: memories,2016,34597450.139,0.3229175123352161,0.011948962173197571,0.3306288719785691,0.12829248438871604,27.442325137075365,22.58279639638325
854232,Electronic integrated circuits: memories,2017,63158255.83800001,0.4325412715539587,0.0094983872660882,0.4407847738386485,0.19302429692035689,42.91609095784151,34.81599939900057
854232,Electronic integrated circuits: memories,2018,68268913.337,0.6211012030297267,0.008805893321201906,0.6321071800978694,0.182589087125737,62.154139783763064,50.16523494369552
854232,Electronic integrated circuits: memories,2019,51239005.974,0.5234850838522281,0.005211986648131146,0.5289573877075365,0.07707069183150728,44.63521357557144,35.93625587451059
854232,Electronic integrated circuits: memories,2020,53397579.58,0.5200188680907248,0.003882924912155728,0.524065705155036,0.027333095794740827,40.93633680061023,32.898075038809765
854232,Electronic integrated circuits: memories,2021,64638214.558,0.5213889275110071,0.005204232763857586,0.5268310778720262,0.01056483185286672,40.18706848772134,32.377278446701816
854232,Electronic integrated circuits: memories,2022,60560139.214999996,0.49338927151587386,0.005392751011363407,0.4987246820259382,0.05723064560521093,40.21953352898088,32.414467349824676
854232,Electronic integrated circuits: memories,2023,53089794.206999995,0.3740690725931258,0.006984503962366246,0.37930023375325306,0.15833482820814337,34.223329083361605,27.712213384274172
854232,Electronic integrated circuits: memories,2024,61103282.457,0.43170844491172056,0.0013786368197041031,0.4328993434348265,0.085017236668418,34.9878485592227,27.990278847378164
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2008,30169919.842,0.2424523096154636,0.016530953532919234,0.2503889489562596,0.0,11.191380029216463,9.854669631825349
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2009,18973825.360999998,0.1732758090418142,0.025485340662717827,0.1817733559894413,0.3934520852954036,29.62090718963465,25.131079027801
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2010,24743540.786,0.16692501729829873,0.030638139163532082,0.17664463181752801,0.05418240891784298,7.844645471577734,8.016662104103704
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2011,25349700.17,0.1811211412051882,0.027445535344964984,0.19069150488000836,0.04507022714144168,8.51143131639497,8.360130270372657
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2012,25063848.71,0.24913355449590335,0.02990085499921612,0.2637780373709549,0.1171861210248823,20.689366360234857,18.24857027276062
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2013,32501909.283,0.29251991544052947,0.07274907613617439,0.33406536359235434,0.09934867894943866,28.726897615617887,27.22807225089135
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2014,35333248.472,0.26842899479311255,0.06526746635898731,0.30234819881168956,0.08924647334811743,24.593579683348327,23.476260758572252
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2015,31998719.591,0.3032574367730739,0.07011352256204094,0.34502760959463374,0.09365919735310795,29.309141742297335,27.537051633808414
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2016,33340445.033,0.34368013590314833,0.035597956710693796,0.3681577111087952,0.06626972180764484,28.330451540837174,24.700417008314467
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2017,34969597.621,0.3497059517121937,0.02815634977191492,0.3694235367030685,0.022585902362115967,25.381777264079858,21.898700616587586
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2018,33403908.560999997,0.4234772735394964,0.03272039177702982,0.45146769718562146,0.09786793024691318,38.69229446521975,32.818675709355375
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2019,32843112.325,0.49982844121823317,0.038465156697051854,0.5390181975758065,0.08724181138665238,47.05821808924181,39.85322916924791
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2020,42603803.561,0.5294063180223968,0.03645014050861777,0.5687867197004332,0.033850527232799354,46.632794114585806,39.3929961587413
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2021,61171813.935,0.43139253611022516,0.031078272503412892,0.4584814729283406,0.12518738358499015,41.08963698140749,34.63884332597751
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2022,65289877.609,0.43795829909266415,0.03067031774806034,0.4651102760773298,0.05942346192308498,37.57364927975038,31.801779782291124
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2023,55231807.459,0.47057673957882323,0.034920896377178254,0.5039387163165596,0.055966502158685594,41.425708798900224,35.1363376014145
854239,Electronic integrated circuits: n.e.c. in heading no. 8542,2024,58188708.025,0.47160555039224,0.03940265898350817,0.5094059939583065,0.014469211554366056,39.4657794262074,33.83505979587939
